"		156",堡林,2019-08-27,96.9,73
"		156",堡林,2019-08-28,91.8,71
"		156",堡林,2019-08-29,92.8,86
"		156",堡林,2019-08-30,78.1,51
"		156",堡林,2019-08-31,79,50
"		156",堡林,2019-09-01,88.3,64
"		156",堡林,2019-09-02,94.3,83
"		156",堡林,2019-09-03,98.1,93
"		156",堡林,2019-09-04,95.5,86
"		156",堡林,2019-09-05,91.1,67
"		156",堡林,2019-09-06,90.6,69
"		156",堡林,2019-09-07,95.1,84
"		156",堡林,2019-09-08,94.4,77
"		156",堡林,2019-09-09,97.1,86
"		156",堡林,2019-09-10,82.3,62
"		156",堡林,2019-09-11,86.3,63
"		156",堡林,2019-09-12,92.5,84
"		156",堡林,2019-09-13,74.8,49
"		156",堡林,2019-09-14,80.9,57
"		156",堡林,2019-09-15,83.8,55
"		156",堡林,2019-09-16,77.6,51
"		156",堡林,2019-09-17,56.9,25
"		156",堡林,2019-09-18,60.5,30
"		156",堡林,2019-09-19,57.1,38
"		156",堡林,2019-09-20,68,46
"		156",堡林,2019-09-21,92.1,69
"		156",堡林,2019-09-22,85.5,65
"		156",堡林,2019-09-23,73.5,44
"		156",堡林,2019-09-24,73.8,43
"		156",堡林,2019-09-25,71.4,30
"		156",堡林,2019-09-26,76.6,55
"		156",堡林,2019-09-27,80.5,56
"		156",堡林,2019-09-28,87.8,63
"		156",堡林,2019-09-29,78.8,54
"		156",堡林,2019-09-30,83.3,65
"		156",堡林,2019-10-01,98.3,87
"		156",堡林,2019-10-02,98.5,96
"		156",堡林,2019-10-03,89.4,63
"		156",堡林,2019-10-04,86.9,62
"		156",堡林,2019-10-05,87.1,69
"		156",堡林,2019-10-06,75.9,56
"		156",堡林,2019-10-07,93.1,72
"		156",堡林,2019-10-08,70.8,48
"		156",堡林,2019-10-09,52.9,26
"		156",堡林,2019-10-10,60,22
"		156",堡林,2019-10-11,63.1,32
"		156",堡林,2019-10-12,54,30
"		156",堡林,2019-10-13,54.5,29
"		156",堡林,2019-10-14,72.1,51
"		156",堡林,2019-10-15,68.6,49
"		156",堡林,2019-10-16,75,44
"		156",堡林,2019-10-17,75.4,53
"		156",堡林,2019-10-18,75.4,59
"		156",堡林,2019-10-19,82.3,46
"		156",堡林,2019-10-20,75.4,39
"		156",堡林,2019-10-21,67.1,29
"		156",堡林,2019-10-22,69.3,46
"		156",堡林,2019-10-23,74.9,61
"		156",堡林,2019-10-24,72.1,47
"		156",堡林,2019-10-25,75.6,44
"		156",堡林,2019-10-26,62.5,48
"		156",堡林,2019-10-27,65.4,37
"		156",堡林,2019-10-28,69.9,41
"		156",堡林,2019-10-29,66.6,35
"		156",堡林,2019-10-30,69.5,37
"		156",堡林,2019-10-31,74.9,46
"		156",堡林,2019-11-01,71.1,40
"		156",堡林,2019-11-02,71.6,45
"		156",堡林,2019-11-03,69.6,26
"		156",堡林,2019-11-04,73.1,39
"		156",堡林,2019-11-05,78.3,41
