시도,시군구,법정동,년도,월,전체호수,전력사용량
강원도,강릉시,명주동,2019,5,0 ,0 
강원도,강릉시,명주동,2019,6,0 ,0 
강원도,강릉시,명주동,2019,7,0 ,0 
강원도,강릉시,명주동,2019,8,5 ,1416 
강원도,강릉시,명주동,2019,9,5 ,1500 
강원도,강릉시,명주동,2019,10,6 ,1577 
강원도,강릉시,명주동,2019,11,6 ,1754 
강원도,강릉시,명주동,2019,12,6 ,2041 
강원도,강릉시,박월동,2019,1,7 ,2796 
강원도,강릉시,박월동,2019,2,7 ,2631 
강원도,강릉시,박월동,2019,3,7 ,2278 
강원도,강릉시,박월동,2019,4,7 ,2299 
강원도,강릉시,박월동,2019,5,7 ,1983 
강원도,강릉시,박월동,2019,6,7 ,1723 
강원도,강릉시,박월동,2019,7,7 ,1715 
강원도,강릉시,박월동,2019,8,7 ,2359 
강원도,강릉시,박월동,2019,9,7 ,2283 
강원도,강릉시,박월동,2019,10,7 ,2226 
강원도,강릉시,박월동,2019,11,7 ,2241 
강원도,강릉시,박월동,2019,12,7 ,2412 
강원도,강릉시,병산동,2019,1,15 ,14015 
강원도,강릉시,병산동,2019,2,16 ,14443 
강원도,강릉시,병산동,2019,3,17 ,12350 
강원도,강릉시,병산동,2019,4,16 ,12279 
강원도,강릉시,병산동,2019,5,16 ,10715 
강원도,강릉시,병산동,2019,6,16 ,10320 
강원도,강릉시,병산동,2019,7,16 ,10928 
강원도,강릉시,병산동,2019,8,16 ,15516 
강원도,강릉시,병산동,2019,9,16 ,15583 
강원도,강릉시,병산동,2019,10,16 ,12013 
강원도,강릉시,병산동,2019,11,16 ,11168 
강원도,강릉시,병산동,2019,12,16 ,12849 
강원도,강릉시,사천면,2019,1,207 ,103819 
강원도,강릉시,사천면,2019,2,207 ,97011 
강원도,강릉시,사천면,2019,3,212 ,85241 
강원도,강릉시,사천면,2019,4,214 ,74774 
강원도,강릉시,사천면,2019,5,215 ,69609 
강원도,강릉시,사천면,2019,6,240 ,61409 
강원도,강릉시,사천면,2019,7,244 ,61729 
강원도,강릉시,사천면,2019,8,246 ,90097 
강원도,강릉시,사천면,2019,9,249 ,87060 
강원도,강릉시,사천면,2019,10,250 ,80085 
강원도,강릉시,사천면,2019,11,250 ,83302 
강원도,강릉시,사천면,2019,12,250 ,96823 
강원도,강릉시,성남동,2019,1,11 ,12360 
강원도,강릉시,성남동,2019,2,11 ,12074 
강원도,강릉시,성남동,2019,3,11 ,9981 
강원도,강릉시,성남동,2019,4,11 ,9735 
강원도,강릉시,성남동,2019,5,11 ,8480 
강원도,강릉시,성남동,2019,6,12 ,7736 
강원도,강릉시,성남동,2019,7,12 ,7847 
강원도,강릉시,성남동,2019,8,12 ,10479 
강원도,강릉시,성남동,2019,9,12 ,10953 
강원도,강릉시,성남동,2019,10,12 ,9124 
강원도,강릉시,성남동,2019,11,12 ,9928 
강원도,강릉시,성남동,2019,12,12 ,11121 
강원도,강릉시,성내동,2019,1,0 ,0 
강원도,강릉시,성내동,2019,2,0 ,0 
강원도,강릉시,성내동,2019,3,0 ,0 
강원도,강릉시,성내동,2019,4,0 ,0 
강원도,강릉시,성내동,2019,5,0 ,0 
강원도,강릉시,성내동,2019,6,0 ,0 
강원도,강릉시,성내동,2019,7,0 ,0 
강원도,강릉시,성내동,2019,8,0 ,0 
강원도,강릉시,성내동,2019,9,0 ,0 
강원도,강릉시,성내동,2019,10,0 ,0 
강원도,강릉시,성내동,2019,11,0 ,0 
강원도,강릉시,성내동,2019,12,0 ,0 
강원도,강릉시,성산면,2019,1,148 ,56503 
강원도,강릉시,성산면,2019,2,148 ,50849 
강원도,강릉시,성산면,2019,3,151 ,41886 
강원도,강릉시,성산면,2019,4,151 ,43625 
강원도,강릉시,성산면,2019,5,152 ,38435 
강원도,강릉시,성산면,2019,6,173 ,41064 
강원도,강릉시,성산면,2019,7,175 ,45021 
강원도,강릉시,성산면,2019,8,183 ,69854 
강원도,강릉시,성산면,2019,9,185 ,58339 
강원도,강릉시,성산면,2019,10,185 ,56009 
강원도,강릉시,성산면,2019,11,185 ,59658 
강원도,강릉시,성산면,2019,12,184 ,64518 
강원도,강릉시,송정동,2019,1,31 ,24536 
강원도,강릉시,송정동,2019,2,31 ,22718 
강원도,강릉시,송정동,2019,3,31 ,16314 
강원도,강릉시,송정동,2019,4,32 ,16039 
강원도,강릉시,송정동,2019,5,32 ,14356 
강원도,강릉시,송정동,2019,6,32 ,13370 
강원도,강릉시,송정동,2019,7,32 ,15093 
강원도,강릉시,송정동,2019,8,32 ,22313 
강원도,강릉시,송정동,2019,9,32 ,18390 
강원도,강릉시,송정동,2019,10,32 ,18880 
강원도,강릉시,송정동,2019,11,32 ,21732 
강원도,강릉시,송정동,2019,12,32 ,26656 
강원도,강릉시,신석동,2019,1,22 ,7409 
강원도,강릉시,신석동,2019,2,22 ,7510 
강원도,강릉시,신석동,2019,3,22 ,6375 
강원도,강릉시,신석동,2019,4,22 ,6172 
강원도,강릉시,신석동,2019,5,22 ,5917 
강원도,강릉시,신석동,2019,6,22 ,5243 
강원도,강릉시,신석동,2019,7,24 ,5723 
강원도,강릉시,신석동,2019,8,25 ,8678 
강원도,강릉시,신석동,2019,9,25 ,8082 
강원도,강릉시,신석동,2019,10,26 ,7326 
강원도,강릉시,신석동,2019,11,27 ,8591 
강원도,강릉시,신석동,2019,12,27 ,10054 
강원도,강릉시,안현동,2019,1,37 ,21543 
강원도,강릉시,안현동,2019,2,37 ,20732 
강원도,강릉시,안현동,2019,3,38 ,20802 
강원도,강릉시,안현동,2019,4,38 ,15260 
강원도,강릉시,안현동,2019,5,38 ,13927 
강원도,강릉시,안현동,2019,6,40 ,12751 
강원도,강릉시,안현동,2019,7,40 ,13280 
강원도,강릉시,안현동,2019,8,41 ,20880 
강원도,강릉시,안현동,2019,9,41 ,22438 
강원도,강릉시,안현동,2019,10,41 ,15755 
강원도,강릉시,안현동,2019,11,41 ,17734 
강원도,강릉시,안현동,2019,12,41 ,21826 
강원도,강릉시,연곡면,2019,1,112 ,58574 
강원도,강릉시,연곡면,2019,2,114 ,56217 
강원도,강릉시,연곡면,2019,3,115 ,44280 
강원도,강릉시,연곡면,2019,4,114 ,42728 
강원도,강릉시,연곡면,2019,5,115 ,40097 
강원도,강릉시,연곡면,2019,6,123 ,41428 
강원도,강릉시,연곡면,2019,7,125 ,45146 
강원도,강릉시,연곡면,2019,8,126 ,79872 
강원도,강릉시,연곡면,2019,9,129 ,54656 
강원도,강릉시,연곡면,2019,10,129 ,49361 
강원도,강릉시,연곡면,2019,11,131 ,51530 
강원도,강릉시,연곡면,2019,12,132 ,54907 
강원도,강릉시,옥계면,2019,1,110 ,55062 
강원도,강릉시,옥계면,2019,2,112 ,54137 
강원도,강릉시,옥계면,2019,3,112 ,45119 
강원도,강릉시,옥계면,2019,4,109 ,42656 
강원도,강릉시,옥계면,2019,5,109 ,38117 
강원도,강릉시,옥계면,2019,6,112 ,34844 
강원도,강릉시,옥계면,2019,7,113 ,36114 
강원도,강릉시,옥계면,2019,8,115 ,53991 
강원도,강릉시,옥계면,2019,9,116 ,49122 
강원도,강릉시,옥계면,2019,10,116 ,44791 
강원도,강릉시,옥계면,2019,11,117 ,47936 
강원도,강릉시,옥계면,2019,12,118 ,53299 
강원도,강릉시,옥천동,2019,1,45 ,18202 
강원도,강릉시,옥천동,2019,2,45 ,17643 
강원도,강릉시,옥천동,2019,3,46 ,15389 
강원도,강릉시,옥천동,2019,4,46 ,14061 
강원도,강릉시,옥천동,2019,5,47 ,13148 
강원도,강릉시,옥천동,2019,6,48 ,17371 
강원도,강릉시,옥천동,2019,7,50 ,16132 
강원도,강릉시,옥천동,2019,8,51 ,23535 
강원도,강릉시,옥천동,2019,9,51 ,27668 
강원도,강릉시,옥천동,2019,10,51 ,20413 
강원도,강릉시,옥천동,2019,11,51 ,23645 
강원도,강릉시,옥천동,2019,12,51 ,29542 
강원도,강릉시,왕산면,2019,1,63 ,20770 
강원도,강릉시,왕산면,2019,2,63 ,17872 
강원도,강릉시,왕산면,2019,3,64 ,15140 
강원도,강릉시,왕산면,2019,4,64 ,15814 
강원도,강릉시,왕산면,2019,5,65 ,15718 
강원도,강릉시,왕산면,2019,6,65 ,15439 
강원도,강릉시,왕산면,2019,7,65 ,15002 
강원도,강릉시,왕산면,2019,8,66 ,19706 
강원도,강릉시,왕산면,2019,9,66 ,17270 
강원도,강릉시,왕산면,2019,10,66 ,17631 
강원도,강릉시,왕산면,2019,11,66 ,20878 
강원도,강릉시,왕산면,2019,12,65 ,23638 
강원도,강릉시,용강동,2019,1,10 ,3339 
강원도,강릉시,용강동,2019,2,10 ,3189 
강원도,강릉시,용강동,2019,3,10 ,2745 
강원도,강릉시,용강동,2019,4,10 ,2525 
강원도,강릉시,용강동,2019,5,10 ,2281 
강원도,강릉시,용강동,2019,6,10 ,2060 
강원도,강릉시,용강동,2019,7,10 ,2046 
강원도,강릉시,용강동,2019,8,10 ,3030 
강원도,강릉시,용강동,2019,9,10 ,3179 
강원도,강릉시,용강동,2019,10,10 ,2206 
강원도,강릉시,용강동,2019,11,10 ,2512 
강원도,강릉시,용강동,2019,12,10 ,2898 
강원도,강릉시,운산동,2019,1,11 ,4241 
강원도,강릉시,운산동,2019,2,11 ,4348 
강원도,강릉시,운산동,2019,3,11 ,3540 
강원도,강릉시,운산동,2019,4,11 ,3396 
강원도,강릉시,운산동,2019,5,12 ,3212 
강원도,강릉시,운산동,2019,6,13 ,3080 
강원도,강릉시,운산동,2019,7,13 ,3101 
강원도,강릉시,운산동,2019,8,13 ,4073 
강원도,강릉시,운산동,2019,9,13 ,4268 
강원도,강릉시,운산동,2019,10,13 ,3745 
강원도,강릉시,운산동,2019,11,13 ,4001 
강원도,강릉시,운산동,2019,12,13 ,4438 
강원도,강릉시,운정동,2019,1,7 ,5556 
강원도,강릉시,운정동,2019,2,7 ,5272 
강원도,강릉시,운정동,2019,3,7 ,4570 
강원도,강릉시,운정동,2019,4,7 ,3952 
강원도,강릉시,운정동,2019,5,7 ,3206 
강원도,강릉시,운정동,2019,6,7 ,2654 
강원도,강릉시,운정동,2019,7,7 ,2511 
강원도,강릉시,운정동,2019,8,7 ,3799 
강원도,강릉시,운정동,2019,9,7 ,4643 
강원도,강릉시,운정동,2019,10,7 ,3099 
강원도,강릉시,운정동,2019,11,7 ,3065 
강원도,강릉시,운정동,2019,12,7 ,3630 
강원도,강릉시,월호평동,2019,1,40 ,13649 
강원도,강릉시,월호평동,2019,2,40 ,13979 
강원도,강릉시,월호평동,2019,3,40 ,12271 
강원도,강릉시,월호평동,2019,4,39 ,11750 
강원도,강릉시,월호평동,2019,5,39 ,10484 
강원도,강릉시,월호평동,2019,6,39 ,9325 
강원도,강릉시,월호평동,2019,7,39 ,9439 
강원도,강릉시,월호평동,2019,8,39 ,12461 
강원도,강릉시,월호평동,2019,9,40 ,12543 
강원도,강릉시,월호평동,2019,10,40 ,11060 
