날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2019-05-05,51732,49749,48582,47980,48062,48548,48987,48308,47715,47367,47896,47513,47233,47790,48187,48897,50219,51754,52763,54322,54877,54470,53963,52756
2019-05-06,49798,48048,47035,46659,47051,47951,49446,50769,53112,54005,54433,54060,52147,53677,54540,55215,56408,56871,57642,58885,59232,58480,57739,56401
2019-05-07,52930,51137,50298,50199,50786,51981,54636,57301,60861,61617,61370,60670,57851,60390,61652,62205,63821,63855,63741,64119,63457,61973,60515,59976
2019-05-08,56151,54419,53497,53189,53678,54583,56552,58786,61851,62422,62319,61879,59209,62339,64027,64390,65191,64291,63374,63661,63126,61903,60370,59825
2019-05-09,56192,54056,53208,52751,53059,54202,56548,59219,62530,62776,62438,61726,58710,61411,62589,63142,64441,64536,64149,64637,63827,62047,60471,59803
2019-05-10,56173,54102,53238,52942,53217,54257,56422,58770,61898,62203,62050,61500,58816,61810,63317,63930,65051,64416,63392,63566,62697,61026,59520,59075
2019-05-11,55520,53462,52418,51806,51902,52313,53037,52973,53720,53707,54201,54138,52585,53874,54551,54801,55390,55230,55465,56476,56737,55730,54800,54573
2019-05-12,51517,49535,48402,47878,47868,48137,48580,47944,47603,47767,48600,48806,48521,49311,49703,50406,51686,53052,54243,55570,55971,55076,53921,52277
2019-05-13,49425,47752,46965,46776,47259,48704,51700,55557,60441,62372,63024,62872,60498,63446,65002,65627,66385,65599,64973,64650,63527,61632,59875,59149
2019-05-14,55339,53594,52716,52252,52577,53575,56100,59149,62948,63806,63778,63443,60707,63781,65201,65731,66716,66426,65732,65755,64722,62718,60582,59657
2019-05-15,55932,53992,53109,52708,52922,53749,56131,59280,63301,64596,64811,64622,62230,65292,66866,67264,68076,66863,65639,65594,64826,62988,60803,59847
2019-05-16,56172,54283,53239,52728,53091,53990,56315,59506,63779,65566,65788,65902,63425,66729,68390,68675,69631,68771,67698,67280,65819,63458,61149,60022
2019-05-17,56361,54461,53383,52848,53100,53944,56247,59455,63758,65849,67036,67571,65319,68327,69529,69412,69583,68017,66317,65764,64924,62986,61289,59729
2019-05-18,56403,54344,53245,52334,52380,52557,53770,54939,56974,57630,57978,57980,56708,57623,57986,57865,57547,57004,57103,57760,58102,57085,55891,55299
2019-05-19,52231,50389,49218,48567,48562,48678,49258,49731,50424,51283,52620,53156,53321,53971,54162,54348,55034,55769,56484,57321,57545,56565,55325,53645
2019-05-20,50678,49079,48265,47939,48230,49417,52563,57200,62814,64838,64787,63846,60160,62072,62913,63160,64401,64306,63762,63885,63367,61926,60012,59132
2019-05-21,55508,53630,52715,52404,52744,53606,55819,58264,61639,62522,62506,62061,59213,62182,63437,64079,65571,65422,64677,64662,63951,62136,60201,59459
2019-05-22,55866,54124,53126,52622,52840,53802,55875,58282,61897,63124,63431,63093,60360,63431,64838,65465,66689,65944,64765,64621,64151,62451,60452,59537
2019-05-23,56130,54163,53214,52781,53029,53841,56002,58774,62729,63969,64561,64444,62036,65289,66845,67237,68535,68191,67113,66618,65520,63124,61029,59874
2019-05-24,56275,54335,53225,52685,52721,53544,55746,58637,63022,64914,65728,66171,64200,67489,69359,69818,70964,70074,68148,67518,66422,63967,61542,60212
2019-05-25,56540,54432,53111,52426,52341,52406,53017,53836,55726,56589,57527,57985,56527,57577,58246,58273,58725,58127,58214,58789,58952,57507,55892,55216
2019-05-26,52230,50217,48878,48186,48153,48177,48622,48536,48911,49640,51042,51381,51685,52665,53391,54069,55188,55861,56354,57247,57613,56224,54745,53001
2019-05-27,50040,48526,47554,47390,47745,49010,52560,58068,64782,67850,68756,68716,66145,68943,69700,69441,69376,67851,66306,65393,64178,62081,59935,59081
2019-05-28,55550,53830,52892,52387,52403,53243,55489,58548,62505,63600,63989,63697,60984,63757,64990,65459,66168,65638,64786,64493,63901,62200,60018,59027
2019-05-29,55488,53798,52857,52432,52647,53370,55504,58325,62259,63673,64195,63955,61419,64666,66121,66500,67474,66866,65651,65204,64667,62842,60712,59563
2019-05-30,56056,54078,53033,52499,52628,53407,55571,58646,62641,63978,64534,64884,62689,66208,67970,68392,68850,67392,65887,65511,64409,62321,60039,59029
2019-05-31,55645,53681,52747,52243,52319,53174,55806,59110,63092,64153,64145,63640,60976,63019,64171,64389,64992,64432,63155,62965,62673,61102,59167,58472
2019-06-01,54853,52872,51844,51070,50964,51053,51719,52181,53308,53761,54445,54526,53172,54383,54986,55141,55359,55161,55476,56181,56860,55661,54417,54094
2019-06-02,51170,49275,48211,47734,47825,47950,48274,47660,47739,48194,49783,49807,49906,50687,51016,51526,52393,53879,55131,55909,56758,55668,54010,52378
2019-06-03,49517,47887,47074,46935,47219,48423,51501,55521,60919,63025,64144,64452,62131,65458,67181,67893,69235,68704,67495,66706,65523,63061,60534,59481
2019-06-04,55916,54016,53148,52525,52747,53431,55864,59153,63663,65303,66412,66770,64474,67731,69316,69674,70611,70069,68559,67880,66730,64139,61461,60332
2019-06-05,56755,55006,53893,53161,53253,54063,56525,59926,64684,66350,66974,67306,65172,68484,70127,70468,70897,69803,67905,67364,66572,64342,61781,60659
2019-06-06,56907,54765,53572,52941,52752,52938,54066,55539,58894,61353,62945,63485,62303,64831,65996,65823,65595,64094,63806,63441,63065,61458,59512,57747
2019-06-07,54437,52788,51769,51260,51327,52202,54665,58175,63447,65370,65554,65473,63083,65010,65956,65704,65865,64886,63638,63180,62653,60757,58834,58147
2019-06-08,54783,52798,51616,50942,50751,50921,51715,52236,53695,54117,55318,55704,54625,55627,56025,56148,56452,56067,56117,56737,57222,55971,54558,54116
2019-06-09,51050,49238,48195,47574,47383,47459,48015,48055,48033,48770,50020,50388,50516,51317,51921,52774,53491,54486,55257,56120,56627,55450,54027,52400
2019-06-10,49577,48000,47106,46767,47183,48347,51540,56324,62385,64414,64878,64794,62382,65230,66389,66497,67097,66309,65069,64559,63706,61745,59642,58850
2019-06-11,55502,53672,52695,52235,52451,53345,55833,59415,63709,65098,65250,65197,62645,65206,66322,66543,67125,66609,65815,65419,64815,62667,60412,59627
